iter	Logloss
0	0.6429067344
1	0.5987737064
2	0.5618324754
3	0.5260851515
4	0.4978399748
5	0.4706077209
6	0.450323492
7	0.4335994798
8	0.4171115876
9	0.4038899423
10	0.3877434661
11	0.3798084735
12	0.3678383804
13	0.357491738
14	0.3466284791
15	0.3383331927
16	0.3316714595
17	0.3227282161
18	0.317060525
19	0.3101448713
20	0.3053823472
21	0.3003482086
22	0.29637778
23	0.2928552678
24	0.2883407168
25	0.2852827928
26	0.2828187366
27	0.2800166148
28	0.2769205642
29	0.2750282413
30	0.2729217777
31	0.2689712902
32	0.2670775115
33	0.2648195442
34	0.2624037447
35	0.2584902707
36	0.2545893505
37	0.2521841647
38	0.2498259561
39	0.2475244111
40	0.2469333163
41	0.244845418
42	0.2427727863
43	0.239675528
44	0.2371359748
45	0.2355705881
46	0.2324137957
47	0.230349204
48	0.2290988971
49	0.2262901651
50	0.2251132406
51	0.2225795334
52	0.2209315105
53	0.2189630388
54	0.2176277685
55	0.2168505578
56	0.2148719678
57	0.2129453663
58	0.2103974252
59	0.2091838933
60	0.2071454556
61	0.206168847
62	0.2052233002
63	0.2027165226
64	0.2004374786
65	0.1993708422
66	0.1979775807
67	0.1963141647
68	0.1957523064
69	0.1944677753
70	0.1931960408
71	0.192146084
72	0.1900069071
73	0.1891429339
74	0.1865806779
75	0.1841312877
76	0.1826571701
77	0.18189222
78	0.1805113269
79	0.1792084202
80	0.1790906342
81	0.1783254082
82	0.1767642088
83	0.1759400764
84	0.1748927214
85	0.1741633908
86	0.1728250905
87	0.1716424885
88	0.1705694846
89	0.1687540051
90	0.1680358632
91	0.1661295004
92	0.1648412441
93	0.164441684
94	0.1633876133
95	0.1616656493
96	0.1603524424
97	0.1586178922
98	0.1570836502
99	0.1561597785
100	0.1547781373
101	0.1534952465
102	0.1527550827
103	0.1518127162
104	0.1515238718
105	0.1508424863
106	0.1501950828
107	0.1491177498
108	0.1484570764
109	0.148308893
110	0.1474819615
111	0.1463353551
112	0.1449635511
113	0.1447910277
114	0.1435019376
115	0.1430165891
116	0.1421243498
117	0.1413431131
118	0.1406044922
119	0.1405104959
120	0.13984631
121	0.1395062202
122	0.138442514
123	0.1378364378
124	0.1373225095
125	0.1361817005
126	0.1350466224
127	0.134865518
128	0.1341689111
129	0.1335654715
130	0.1322698016
131	0.1322015879
132	0.1321474161
133	0.132056992
134	0.1317526148
135	0.1309991674
136	0.1300152087
137	0.1295058422
138	0.1285686243
139	0.1281710607
