iter	Passed	Remaining
0	206	28669
1	211	14608
2	215	9824
3	218	7422
4	228	6161
5	232	5191
6	236	4494
7	239	3954
8	244	3565
9	248	3228
10	251	2950
11	255	2720
12	259	2530
13	262	2359
14	265	2210
15	268	2079
16	274	1989
17	278	1888
18	282	1798
19	286	1718
20	291	1653
21	295	1582
22	298	1516
23	301	1457
24	305	1404
25	308	1354
26	312	1306
27	315	1260
28	320	1225
29	323	1184
30	326	1146
31	331	1119
32	337	1092
33	340	1061
34	343	1030
35	346	1000
36	351	977
37	355	953
38	358	927
39	360	901
40	362	874
41	367	856
42	370	835
43	372	813
44	375	792
45	378	772
46	383	758
47	386	739
48	389	722
49	392	705
50	397	693
51	401	679
52	405	664
53	408	649
54	410	634
55	415	622
56	418	609
57	421	595
58	424	582
59	429	572
60	432	559
61	434	546
62	437	534
63	439	522
64	442	510
65	447	502
66	450	490
67	452	479
68	455	468
69	458	458
70	462	449
71	465	439
72	468	430
73	471	420
74	473	410
75	477	402
76	480	392
77	482	383
78	485	374
79	487	365
80	490	357
81	493	349
82	496	340
83	498	332
84	501	324
85	504	316
86	507	309
87	510	301
88	513	294
89	516	286
90	519	279
91	522	272
92	525	265
93	528	258
94	530	251
95	532	244
96	535	237
97	537	230
98	540	223
99	542	217
100	545	210
101	547	204
102	550	197
103	552	191
104	554	184
105	557	178
106	559	172
107	561	166
108	564	160
109	566	154
110	569	148
111	571	142
112	574	137
113	576	131
114	578	125
115	581	120
116	583	114
117	586	109
118	588	103
119	591	98
120	593	93
121	596	88
122	599	82
123	601	77
124	604	72
125	607	67
126	609	62
127	612	57
128	614	52
129	617	47
130	620	42
131	622	37
132	625	32
133	627	28
134	630	23
135	633	18
136	636	13
137	638	9
138	641	4
139	644	0
