iter	Logloss
0	0.6760609539
1	0.6608657103
2	0.6464223486
3	0.6313760149
4	0.6168051056
5	0.6026208611
6	0.5893931361
7	0.5741639377
8	0.5629142226
9	0.5524514913
10	0.541103287
11	0.5312246906
12	0.5201939676
13	0.5099055336
14	0.5002438604
15	0.4916346268
16	0.4842046825
17	0.4763112539
18	0.467540496
19	0.460760108
20	0.4530482111
21	0.4461173638
22	0.439419709
23	0.4360717993
24	0.429823203
25	0.4235864824
26	0.4180383278
27	0.4125059758
28	0.4070613523
29	0.4020865354
30	0.3967965334
31	0.3918099731
32	0.3866647345
33	0.3824492183
34	0.3779980314
35	0.3737811138
36	0.3695009613
37	0.3652821755
38	0.3624656975
39	0.3593829834
40	0.3553634887
41	0.3517252725
42	0.3477210575
43	0.3436827081
44	0.3401502928
45	0.3373057473
46	0.3346477333
47	0.3315476644
48	0.328569673
49	0.3254150265
50	0.3234737273
51	0.3208476421
52	0.3177607475
53	0.3152766573
54	0.3128242566
55	0.3099266453
56	0.3069482118
57	0.3045355789
58	0.3017204886
59	0.2996047624
60	0.2972907927
61	0.2954471544
62	0.2936290154
63	0.291660031
64	0.2897076992
65	0.2877266431
66	0.2860486368
67	0.2847219008
68	0.2825975607
69	0.2805678632
70	0.2792600853
71	0.278487948
72	0.2767385572
73	0.2748099814
74	0.2738203975
75	0.2721734498
76	0.2709009794
77	0.2696891157
78	0.268174259
79	0.2668028951
80	0.2654783093
81	0.2639976505
82	0.2627000179
83	0.2612322279
84	0.2602792843
85	0.2588060593
86	0.2573572884
87	0.2561835282
88	0.2546943425
89	0.2533624078
90	0.2522090604
91	0.2510117307
92	0.2496676961
93	0.2483979162
94	0.2476976645
95	0.2468280212
96	0.2457334727
97	0.2445631142
98	0.2429498782
99	0.2415136581
100	0.240537919
101	0.2399027724
102	0.238919302
103	0.2381302178
104	0.2367743164
105	0.2360010258
106	0.2350349244
107	0.2335485214
108	0.2326754356
109	0.2312136745
110	0.2304002881
111	0.2295576046
112	0.2283233261
113	0.2274050302
114	0.2266678441
115	0.2257258955
116	0.2249797384
117	0.2241416638
118	0.2233629074
119	0.2222679619
120	0.2214471972
121	0.2208212353
122	0.2199222967
123	0.2190369069
124	0.2183917716
125	0.2179820209
126	0.2174106455
127	0.2162696656
128	0.2154469927
129	0.2149379403
130	0.2141925002
131	0.2129873224
132	0.2125460359
133	0.2118568118
134	0.210831878
135	0.2099371404
136	0.209289726
137	0.2086974083
138	0.2086010005
139	0.2080950177
140	0.2071395112
141	0.206415277
142	0.2058394841
143	0.2049602652
144	0.2044558165
145	0.2034813462
146	0.2026986585
147	0.202137865
148	0.2016982856
149	0.2010638542
150	0.2006398085
151	0.1999275166
152	0.1993806125
153	0.1989038229
154	0.1981495564
155	0.1975510826
156	0.1967540242
157	0.1962229784
158	0.1955543216
159	0.1949347591
160	0.1942952524
161	0.1938030068
162	0.1932213745
163	0.1925330348
164	0.1921945555
165	0.1917445546
166	0.1911159495
167	0.1907860463
168	0.190020448
169	0.1896039055
170	0.1893467464
171	0.1888429385
172	0.1883236234
173	0.1880097322
174	0.187217516
175	0.1862345885
176	0.1856329972
177	0.1846767494
178	0.1844063275
179	0.1841302666
180	0.1837794617
181	0.1832004736
182	0.1827314806
183	0.1823718868
184	0.1817611792
185	0.1809432472
186	0.180309741
187	0.1795880883
188	0.1790949795
189	0.1785952569
190	0.1779180064
191	0.1774717044
192	0.1768455533
193	0.1762872001
194	0.1757395306
195	0.1752324065
196	0.1747220461
197	0.1743203164
198	0.1738636778
199	0.1734419727
200	0.1731358561
201	0.1726744152
202	0.1721485362
203	0.1718796127
204	0.1714214609
205	0.1709520437
206	0.1707361099
207	0.1705187087
208	0.1701422853
209	0.1697854629
210	0.1696008149
211	0.1694004027
212	0.1691286319
213	0.1687610365
214	0.1680519236
215	0.1676052082
216	0.1671453632
217	0.1667991425
218	0.1662583665
219	0.1657278657
220	0.1654613901
221	0.1651321157
222	0.1647947733
223	0.1641168949
224	0.1637175406
225	0.1633042149
226	0.1629193501
227	0.1624474621
228	0.1617804129
229	0.1616162287
230	0.1610814251
231	0.1607314802
232	0.1602539531
233	0.1598447915
234	0.1596126785
235	0.1593366854
236	0.1588967689
237	0.1583282657
238	0.1582572233
239	0.1576008978
240	0.1572728076
241	0.1568962574
242	0.1563988082
243	0.1561514604
244	0.1557105743
245	0.1555590169
246	0.1550281645
247	0.1547100158
248	0.1542975406
249	0.1540881236
250	0.1534590441
251	0.1528840224
252	0.1523486727
253	0.1518222495
254	0.1513482767
255	0.1506282712
256	0.1503081984
257	0.1501134926
258	0.1498918471
259	0.1493123893
260	0.1489112386
261	0.1483811352
262	0.1480015131
263	0.147782558
264	0.1474409881
265	0.1470440315
266	0.1465324409
267	0.1461448278
268	0.1456321578
269	0.1452614796
270	0.1450409828
271	0.1445339623
272	0.1441931223
273	0.1438124984
274	0.1432982642
275	0.1427733701
276	0.1423773243
277	0.1421259174
278	0.141567935
279	0.1410499306
280	0.1407267592
281	0.1406459614
282	0.140283841
283	0.139890165
284	0.1395143965
285	0.1389527213
286	0.1385517726
287	0.138195159
288	0.1378238613
289	0.1374763484
290	0.1372745174
291	0.1369122402
292	0.1367347646
293	0.1361053865
294	0.1360262816
295	0.1357750807
296	0.1356292607
297	0.1352526652
298	0.1347915531
299	0.1346392613
300	0.1343499205
301	0.1340378888
302	0.1334987258
303	0.1331942973
304	0.1327068134
305	0.1325745301
306	0.1322762822
307	0.1319219016
308	0.1313626771
309	0.1309625656
310	0.130373295
311	0.1300694821
312	0.1298889854
313	0.1295836188
314	0.1294063095
315	0.1290971474
316	0.1288276439
317	0.1286708661
318	0.1282695373
319	0.1278561383
320	0.1275349484
321	0.1273313601
322	0.1270400226
323	0.126759435
324	0.1263903764
325	0.1261096984
326	0.1257946939
327	0.1256396688
328	0.125568713
329	0.1252135034
330	0.1250267335
331	0.1247448666
332	0.1245820701
333	0.1241702288
334	0.1240059782
335	0.1238719889
336	0.1235930458
337	0.1233742692
338	0.1229122756
339	0.1225117391
340	0.1221875538
341	0.121913835
342	0.1214989982
343	0.1213336757
344	0.1212192134
345	0.1208343947
346	0.1206967104
347	0.1201879043
348	0.1199857809
349	0.1195822211
350	0.1194145706
351	0.1191972474
352	0.1190587419
353	0.1187876959
354	0.1183099887
355	0.1182292765
356	0.1178020901
357	0.117501072
358	0.1173175792
359	0.1172801728
360	0.1168583711
361	0.1165229959
362	0.1162250891
363	0.1158815835
364	0.1158421481
365	0.1155549808
366	0.1151187637
367	0.1147936949
368	0.1145359539
369	0.1143779511
370	0.1142272416
371	0.1140686611
372	0.1136838936
373	0.1132728096
374	0.1130618232
375	0.112808992
376	0.1126899565
377	0.1125620381
378	0.1123334503
379	0.1120160341
380	0.1118101129
381	0.1116169681
382	0.1114532093
383	0.1114321337
384	0.1111946053
385	0.1109112468
386	0.1108919095
387	0.1108775493
388	0.1106602646
389	0.110510197
390	0.1100545595
391	0.1097842154
392	0.1095662441
393	0.1093786233
394	0.109052789
395	0.1087857689
396	0.1087707238
397	0.1086243059
398	0.1084530582
399	0.1081083222
400	0.1080885797
401	0.10758446
402	0.1074378854
403	0.1069901381
404	0.1067536128
405	0.1063391709
406	0.1061958655
407	0.106034292
408	0.1059127076
409	0.1057788826
410	0.1055110596
411	0.1053269259
412	0.105219467
413	0.1048210812
414	0.1046122764
415	0.1045923243
416	0.1044714586
417	0.1042854436
418	0.1042459255
419	0.1038506942
420	0.103671428
421	0.1035339996
422	0.1033547975
423	0.1031640024
424	0.1029011496
425	0.1028269405
426	0.1026236797
427	0.1025180085
