iter	Passed	Remaining
0	8	3543
1	16	3526
2	25	3614
3	32	3474
4	42	3609
5	51	3597
6	56	3409
7	60	3193
8	65	3034
9	69	2889
10	73	2799
11	77	2703
12	82	2633
13	86	2569
14	91	2521
15	95	2468
16	100	2417
17	104	2369
18	108	2329
19	112	2301
20	117	2270
21	121	2247
22	126	2219
23	128	2156
24	132	2133
25	136	2117
26	141	2101
27	145	2078
28	149	2056
29	154	2045
30	158	2029
31	162	2013
32	166	1998
33	171	1987
34	175	1973
35	180	1962
36	184	1947
37	188	1935
38	191	1913
39	195	1898
40	199	1887
41	204	1876
42	208	1865
43	212	1854
44	217	1847
45	221	1839
46	225	1827
47	229	1817
48	233	1809
49	238	1799
50	242	1789
51	246	1780
52	250	1774
53	255	1767
54	259	1757
55	263	1751
56	267	1744
57	272	1736
58	276	1729
59	280	1720
60	284	1713
61	288	1705
62	293	1699
63	297	1691
64	301	1685
65	306	1680
66	310	1673
67	314	1666
68	318	1659
69	323	1653
70	327	1646
71	329	1631
72	334	1624
73	338	1619
74	342	1613
75	346	1606
76	350	1599
77	354	1592
78	359	1586
79	363	1580
80	368	1579
81	374	1579
82	380	1580
83	384	1573
84	388	1567
85	393	1564
86	397	1559
87	401	1552
88	405	1545
89	410	1540
90	414	1534
91	418	1528
92	422	1522
93	427	1517
94	431	1511
95	435	1506
96	439	1500
97	444	1495
98	448	1489
99	452	1483
100	456	1479
101	461	1474
102	465	1468
103	469	1462
104	473	1457
105	477	1451
106	482	1447
107	486	1442
108	491	1437
109	495	1431
110	499	1426
111	508	1435
112	516	1440
113	521	1437
114	526	1433
115	531	1429
116	536	1424
117	540	1421
118	545	1416
119	557	1431
120	566	1437
121	579	1454
122	588	1460
123	594	1458
124	601	1459
125	608	1457
126	615	1458
127	620	1455
128	626	1452
129	632	1448
130	638	1446
131	644	1445
132	651	1444
133	657	1441
134	663	1440
135	669	1436
136	674	1432
137	678	1426
138	681	1416
139	685	1409
140	690	1404
141	694	1398
142	698	1391
143	703	1386
144	707	1380
145	711	1374
146	715	1368
147	720	1362
148	724	1357
149	728	1350
150	733	1344
151	737	1339
152	741	1332
153	745	1326
154	750	1321
155	754	1316
156	759	1310
157	763	1304
158	769	1301
159	773	1295
160	777	1290
161	782	1284
162	786	1278
163	790	1272
164	795	1267
165	799	1261
166	803	1256
167	808	1250
168	812	1244
169	816	1239
170	820	1233
171	825	1228
172	829	1222
173	833	1216
174	837	1210
175	841	1204
176	845	1199
177	849	1193
178	854	1187
179	858	1183
180	863	1178
181	867	1173
182	872	1168
183	877	1163
184	881	1158
185	885	1152
186	890	1147
187	894	1141
188	898	1136
189	902	1130
190	906	1125
191	911	1119
192	915	1114
193	919	1109
194	923	1103
195	927	1098
196	932	1092
197	936	1087
198	940	1082
199	944	1077
200	948	1071
201	952	1065
202	956	1060
203	961	1055
204	965	1050
205	969	1044
206	973	1039
207	977	1034
208	982	1029
209	986	1023
210	990	1018
211	994	1013
212	999	1008
213	1003	1003
214	1008	998
215	1012	993
216	1016	988
217	1021	984
218	1026	979
219	1030	974
220	1034	969
221	1038	963
222	1043	958
223	1047	953
224	1051	948
225	1055	943
226	1059	938
227	1064	933
228	1068	928
229	1072	923
230	1076	918
231	1080	913
232	1085	908
233	1089	902
234	1093	898
235	1097	893
236	1101	888
237	1106	883
238	1108	876
239	1112	871
240	1116	866
241	1120	861
242	1125	856
243	1129	851
244	1133	846
245	1137	841
246	1141	836
247	1146	831
248	1150	826
249	1154	822
250	1158	817
251	1162	812
252	1167	807
253	1171	802
254	1175	797
255	1179	792
256	1183	787
257	1188	782
258	1192	778
259	1196	773
260	1200	768
261	1204	763
262	1209	758
263	1213	753
264	1217	749
265	1221	744
266	1225	739
267	1230	734
268	1234	729
269	1238	724
270	1243	720
271	1247	715
272	1251	710
273	1255	705
274	1259	700
275	1264	696
276	1268	691
277	1272	686
278	1278	682
279	1283	678
280	1288	673
281	1292	668
282	1296	664
283	1300	659
284	1305	654
285	1309	650
286	1313	645
287	1317	640
288	1321	635
289	1325	630
290	1330	626
291	1334	621
292	1339	617
293	1343	612
294	1347	607
295	1351	602
296	1356	598
297	1360	593
298	1364	588
299	1368	583
300	1372	579
301	1376	574
302	1380	569
303	1384	564
304	1388	560
305	1393	555
306	1397	550
307	1401	546
308	1405	541
309	1410	536
310	1414	532
311	1419	527
312	1423	522
313	1427	518
314	1431	513
315	1435	508
316	1439	504
317	1444	499
318	1448	494
319	1452	490
320	1456	485
321	1460	480
322	1465	476
323	1469	471
324	1473	466
325	1477	462
326	1481	457
327	1485	452
328	1489	448
329	1494	443
330	1498	439
331	1502	434
332	1507	429
333	1511	425
334	1515	420
335	1519	416
336	1523	411
337	1528	406
338	1532	402
339	1536	397
340	1540	393
341	1544	388
342	1549	383
343	1553	379
344	1558	374
345	1562	370
346	1566	365
347	1570	361
348	1575	356
349	1579	351
350	1584	347
351	1587	342
352	1590	338
353	1594	333
354	1597	328
355	1600	323
356	1604	319
357	1607	314
358	1611	309
359	1614	304
360	1617	300
361	1620	295
362	1624	290
363	1628	286
364	1631	281
365	1635	276
366	1638	272
367	1641	267
368	1644	263
369	1648	258
370	1651	253
371	1654	249
372	1658	244
373	1662	239
374	1665	235
375	1668	230
376	1672	226
377	1676	221
378	1680	217
379	1683	212
380	1686	208
381	1690	203
382	1693	198
383	1696	194
384	1699	189
385	1703	185
386	1706	180
387	1709	176
388	1713	171
389	1716	167
390	1719	162
391	1723	158
392	1726	153
393	1729	149
394	1733	144
395	1736	140
396	1739	135
397	1742	131
398	1746	126
399	1749	122
400	1752	118
401	1756	113
402	1759	109
403	1762	104
404	1766	100
405	1769	95
406	1772	91
407	1776	87
408	1779	82
409	1783	78
410	1786	73
411	1789	69
412	1793	65
413	1796	60
414	1800	56
415	1803	52
416	1806	47
417	1809	43
418	1813	38
419	1816	34
420	1819	30
421	1823	25
422	1826	21
423	1829	17
424	1833	12
425	1836	8
426	1839	4
427	1842	0
